spotify_track_id,instance,song_name,artist_name,end_date,best_week_position,weeks_on_chart_run
04MLEeAMuV9IlHEsD8vF6A,1,No Stylist,French Montana Featuring Drake,2019-02-16,60,20
09oZ9eXQ2fo6YDrPzJqAoP,1,Outta My Head,Khalid With John Mayer,2019-04-20,58,1
0BnTBAGmr9FtYwkZrwKhwS,1,Just Us,DJ Khaled Featuring SZA,2019-08-24,43,13
0CALOqrkXAE7WB2nyIATLk,1,Face My Fears,Hikaru Utada & Skrillex,2019-02-02,98,1
0DiDStADDVh3SvAsoJAFMk,1,Only Human,Jonas Brothers,2019-07-06,91,3
0DiDStADDVh3SvAsoJAFMk,2,Only Human,Jonas Brothers,2019-12-28,18,27
0FZ4Dmg8jJJAPJnvBIzD9z,1,ZEZE,Kodak Black Featuring Travis Scott & Offset,2019-04-13,9,25
0PG9fbaaHFHfre2gUVo7AN,1,Please Me,Cardi B & Bruno Mars,2019-07-13,3,20
0Ryd8975WihbObpp5cPW1t,1,Boyfriend,Ariana Grande & Social House,2019-11-02,8,12
0TK2YIli7K1leLovkQiNik,1,Senorita,Shawn Mendes & Camila Cabello,2019-12-28,1,26
0bYg9bo50gSsH3LtXe2SQn,8,All I Want For Christmas Is You,Mariah Carey,2019-01-05,3,29
0bYg9bo50gSsH3LtXe2SQn,9,All I Want For Christmas Is You,Mariah Carey,2019-12-28,1,35
0c7K73roy6RW4ebDkf4yGh,1,Valentino,24kGoldn,2019-11-23,92,1
0d2iYfpKoM0QCKvcLCkBao,1,Eastside,"benny blanco, Halsey & Khalid",2019-07-20,9,52
0fea68AdmYNygeTGI4RC18,1,La Cancion,J Balvin & Bad Bunny,2019-09-14,98,1
0fea68AdmYNygeTGI4RC18,2,La Cancion,J Balvin & Bad Bunny,2019-11-09,93,4
0fea68AdmYNygeTGI4RC18,3,La Cancion,J Balvin & Bad Bunny,2019-12-14,84,8
0fySG6A6qLE8IvDpayb5bM,1,VIBEZ,DaBaby,2019-12-28,21,12
0nbXyq5TXYPCO7pr3N8S4I,1,The Box,Roddy Ricch,2019-12-28,18,2
0rIAC4PXANcKmitJfoqmVm,1,Motivation,Normani,2019-11-02,33,10
