title,artist,date,region,url,rank,streams,chart,extracted_track_id,month
"break up with your girlfriend, i'm bored",Ariana Grande,2019-02-11,Canada,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,1,374617.0,top200,4kV4N9D1iKVxx1KLvtTpjS,2019-02
7 rings,Ariana Grande,2019-02-11,Canada,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2,359965.0,top200,6ocbgoVGwYJhOv1GgI9NsF,2019-02
Wow.,Post Malone,2019-02-11,Canada,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,3,205702.0,top200,6MWtB6iiXyIwun0YzU6DFP,2019-02
MIDDLE CHILD,J. Cole,2019-02-11,Canada,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,5,188998.0,top200,2JvzF1RMd7lE3KmFlsyZD8,2019-02
"thank u, next",Ariana Grande,2019-02-11,Canada,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,6,185710.0,top200,3e9HZxeyfWwjeyPAMmWSSQ,2019-02
bury a friend,Billie Eilish,2019-02-11,Canada,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,10,180327.0,top200,4NzMOnvSJVNKF7nw5NkXIP,2019-02
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2019-02-11,Canada,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,11,178175.0,top200,3KkXRkHbMCARz0aVfEt68P,2019-02
Going Bad (feat. Drake),Meek Mill,2019-02-11,Canada,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,12,166354.0,top200,2IRZnDFmlqMuOrYOLnZZyc,2019-02
imagine,Ariana Grande,2019-02-11,Canada,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow,15,141958.0,top200,39LmTF9RgyakzSYX8txrow,2019-02
Look Back at It,A Boogie Wit da Hoodie,2019-02-11,Canada,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,16,139671.0,top200,3Ol2xnObFdKV9pmRD2t9x8,2019-02
Without Me,Halsey,2019-02-11,Canada,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,18,131643.0,top200,5p7ujcrUXASCNwRaWNHR1C,2019-02
SICKO MODE,Travis Scott,2019-02-11,Canada,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,19,130910.0,top200,2xLMifQCjDGFmkHkpNLD9h,2019-02
Thotiana,Blueface,2019-02-11,Canada,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,21,119433.0,top200,3oh6SCCeLuXhFpEyepla6G,2019-02
Shallow,"Lady Gaga, Bradley Cooper",2019-02-11,Canada,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,23,116208.0,top200,2VxeLyX666F8uXCJ0dZF8B,2019-02
Happier,"Marshmello, Bastille",2019-02-11,Canada,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,24,115445.0,top200,2dpaYNEQHiRxtZbfNsse99,2019-02
Dancing With A Stranger (with Normani),Sam Smith,2019-02-11,Canada,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,25,115385.0,top200,6Qs4SXO9dwPj5GKvVOv8Ki,2019-02
a lot,21 Savage,2019-02-11,Canada,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,26,113206.0,top200,2t8yVaLvJ0RenpXUIAC52d,2019-02
ZEZE (feat. Travis Scott & Offset),Kodak Black,2019-02-11,Canada,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,27,99397.0,top200,0FZ4Dmg8jJJAPJnvBIzD9z,2019-02
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2019-02-11,Canada,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,28,96301.0,top200,78QR3Wp35dqAhFEc2qAGjE,2019-02
Pure Water (with Migos),Mustard,2019-02-11,Canada,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,29,91640.0,top200,63cd4JkwGgYJrbOizbfmsp,2019-02
Eastside (with Halsey & Khalid),benny blanco,2019-02-11,Canada,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,31,89649.0,top200,7FGq80cy8juXBCD2nrqdWU,2019-02
Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",2019-02-11,Canada,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,32,89308.0,top200,11cDEev79fPKi6uJCjUhu8,2019-02
Mo Bamba,Sheck Wes,2019-02-11,Canada,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,33,87899.0,top200,1xzBco0xcoJEDXktl7Jxrr,2019-02
i'm so tired...,"Lauv, Troye Sivan",2019-02-11,Canada,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,34,86410.0,top200,7COXchtUOMd6uIT6HvmRaI,2019-02
High Hopes,Panic! At The Disco,2019-02-11,Canada,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,35,85952.0,top200,1rqqCSm0Qe4I9rUvWncaom,2019-02
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2019-02-11,Canada,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,36,84455.0,top200,1wJRveJZLSb1rjhnUHQiv6,2019-02
Better Now,Post Malone,2019-02-11,Canada,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,37,78999.0,top200,7dt6x5M1jzdTEt8oCbisTK,2019-02
Let Me Down Slowly,Alec Benjamin,2019-02-11,Canada,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,39,76376.0,top200,2qxmye6gAegTMjLKEBoR3d,2019-02
