track_id,track_name,track_artist,track_popularity,track_album_release_date,danceability,speechiness
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87,2019-06-28,0.693,0.0324
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,83,2019-07-11,0.67,0.295
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,39,2019-05-31,0.591,0.0289
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,83,2019-05-24,0.59,0.122
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,83,2019-03-08,0.791,0.0439
4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,81,2019-04-12,0.669,0.136
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,85,2019-05-31,0.77,0.0602
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,67,2019-07-24,0.294,0.042
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,81,2019-03-22,0.46,0.05
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,79,2018-10-18,0.665,0.0578
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,2019-04-19,0.591,0.079
6nDKrPlXdpomGBgAlO7UdP,SOS,Avicii,30,2019-04-10,0.802,0.0715
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,84,2018-01-23,0.753,0.0449
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,85,2019-01-18,0.674,0.147
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,76,2019-02-21,0.44,0.0326
3Kuu5vASpXK8oRsxOvau6P,Think About You,Kygo,71,2019-02-14,0.673,0.0354
3M9Apu4OZfylLTFKvgEtKa,Ritual,Tiësto,82,2019-05-31,0.647,0.0552
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,2018-09-28,0.842,0.228
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85,2016-07-29,0.748,0.0338
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,96,2019-10-12,0.721,0.0657
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),Calvin Harris,84,2018-08-17,0.781,0.0394
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,85,2018-04-06,0.791,0.11
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,91,2019-10-11,0.598,0.0415
7FjZU7XFs7P9jHI9Z0yRhK,So Close,NOTD,79,2018-11-02,0.7,0.0666
7pWK1kMgHy5lNNiIfuRbkP,Used To Love (with Dean Lewis),Martin Garrix,83,2019-10-31,0.651,0.0375
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),R3HAB,80,2019-04-05,0.733,0.033
36orMWv2PgvnzXsd5CJ0yL,Post Malone (feat. RANI),Sam Feldt,75,2019-08-16,0.59,0.122
0vrmHPfoBadXVr2n0m1aqZ,Heaven,Avicii,80,2019-06-06,0.592,0.0275
7Feaw9WAEREY0DUOSXJLOM,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83,2019-04-25,0.661,0.0566
7K7MUBCnzgBAvMVW2RTWNs,Body (feat. brando),Loud Luxury,63,2017-10-27,0.752,0.038
5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),Calvin Harris,83,2019-01-11,0.807,0.0361
4kWO6O1BUXcZmaxitpVUwp,Jackie Chan,Tiësto,79,2018-05-18,0.747,0.045
25sgk305KZfyuqVBQIahim,Sweet but Psycho,Ava Max,87,2018-08-17,0.719,0.0476
0uUNN1nSoUx1A4fkDCWDQ7,So Am I,Ava Max,83,2019-03-07,0.682,0.0435
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,95,2019-03-29,0.701,0.375
5WvAo7DNuPRmk4APhdPzi8,No Brainer,DJ Khaled,77,2018-07-27,0.552,0.342
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,85,2019-04-12,0.645,0.0965
3TKpJrY9q49Mj1JOsM9zGL,Family,The Chainsmokers,85,2019-12-06,0.584,0.0356
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,SAINt JHN,88,2019-10-09,0.77,0.0495
5MvLsT03RBp67RLoeISCdl,Do You Mean (feat. Ty Dolla $ign & bülow),The Chainsmokers,17,2019-04-26,0.6,0.0394
4n7jnSxVLd8QioibtTDBDq,On My Way,Alan Walker,83,2019-03-21,0.509,0.102
1WSGTYKLEpKfNQYYW5Oymt,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,79,2019-02-28,0.541,0.362
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,87,2019-01-11,0.741,0.0656
11cDEev79fPKi6uJCjUhu8,Who Do You Love,The Chainsmokers,23,2019-02-07,0.51,0.0447
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,94,2019-07-26,0.88,0.0874
0rIAC4PXANcKmitJfoqmVm,Motivation,Normani,83,2019-08-16,0.599,0.0984
4hPpVbbakQNv8YTHYaOJP4,One Thing Right,Marshmello,85,2019-06-21,0.659,0.0451
56JyMaElW79S7TDWh1Zw1m,On A Roll,Ashley O,70,2019-06-14,0.737,0.0896
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,98,2019-11-07,0.803,0.298
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,97,2019-11-13,0.704,0.0994
2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA,93,2019-07-19,0.786,0.0882
3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Tainy,90,2019-08-22,0.734,0.0735
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,93,2019-06-21,0.759,0.0287
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,98,2019-09-20,0.764,0.0546
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,98,2019-11-29,0.513,0.0629
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,94,2019-05-17,0.501,0.0319
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,92,2019-10-04,0.474,0.343
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin,91,2019-06-28,0.754,0.317
3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,Niall Horan,87,2019-10-04,0.591,0.0304
57vxBYXtHMk6H1aD29V7PU,Heartless,The Weeknd,93,2019-11-27,0.531,0.111
5w9c2J52mkdntKOmRLeM2m,Con Calma,Daddy Yankee,87,2019-01-24,0.737,0.0593
3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,85,2019-11-13,0.448,0.064
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,Selena Gomez,93,2019-10-23,0.505,0.0438
1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,Lunay,85,2019-05-10,0.795,0.0432
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes,88,2019-06-19,0.759,0.029
1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,91,2019-12-06,0.676,0.0483
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,86,2017-03-03,0.825,0.0802
2W4yABdLc4Jnds67Poi5Nl,Yellow Hearts,Ant Saunders,89,2019-06-18,0.865,0.0719
40nPimvmG05WYS7983bawZ,Cry for Me,Camila Cabello,73,2019-10-04,0.721,0.0927
7LzouaWGFCy4tkXDOOnEyM,Liar,Camila Cabello,87,2019-09-04,0.74,0.0456
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),Khalid,79,2018-02-14,0.708,0.0449
27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,79,2018-11-30,0.601,0.0671
7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,81,2017-08-11,0.52,0.0853
5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),Zedd,82,2019-09-27,0.693,0.0378
